                                                          BANCO De LOS CLIENTES Tp
                                           LISTADO DE LAS CUENTAS DE AHORROS DE NUESTROS CLIENTES
============================================================================================================================================
No.  CUENTA     CLIENTE                                                  SALDO         SOBREGIRADA              FECHA DEL ULTIMO SOBREGIRO
48)  64584439   PAREDES EPIQUEN ISRAEL MARTIN                          31343.85            SI                         30/04/2026
49)  64627562   ZEGARRA YINO REBECA                                    65818.47            NO                         --/--/----
50)  65453860   ROSEMBERG ROSEMBERG JAIR ALONSO                        55639.21            SI                         20/04/2025
51)  66924485   YINO PENA ZKENIA SURAMI                               -92852.89            SI                         24/01/2026
52)  67053439   JUSTINO MARTINEZ ENRIQUE                               47408.81            SI                         06/04/2026
53)  67392071   SUAREZ MORALES AMARU                                   85075.26            SI                         03/11/2025
54)  69702125   CORTEZ SEGURA CARMELA INES                             -3619.12            SI                         22/04/2026
55)  70642877   ARANDA TORREALBA JENNY INES                            96419.23            SI                         27/10/2025
56)  71839426   DIAZ MOYA ELIA ANNIE                                   97048.05            NO                         --/--/----
57)  74183799   GAMARRA CHAVARRI ZKENIA                               -14580.32            SI                         18/07/2025
58)  75392636   LOVERA IBEROS RAUL ALVARO                              34602.05            NO                         --/--/----
59)  75426881   TORREALBA SALAZAR RONAL EVERT                         103740.70            SI                         05/05/2026
60)  77555095   SHIRAKAWA ORTEGA ANGEL                                -31233.19            SI                         18/11/2024
61)  79045799   VALVERDE PINTO EDILBERTO                              -16473.41            SI                         21/11/2025
62)  80009970   BENAVENTE AYALA VIRGINIA IRMA                         145235.59            NO                         --/--/----
63)  80479769   MALCA SAAVEDRA DORIS MILAGROS                         -90325.78            SI                         31/05/2025
64)  81730833   MERCADO QUIROGA CHRISTIAN                              12319.88            SI                         11/09/2025
65)  81890953   EGUSQUIZA BERROCAL DORIS NANCY                        -44503.01            SI                         13/01/2025
66)  82950403   NORABUENA PAIRAZAMAN JULIAN                            19848.36            SI                         07/05/2025
67)  83505777   SUCHERO AGUIRRE ADOLFO                                 29269.60            NO                         --/--/----
68)  84455439   CHAVEZ PRADO SILVANA                                   75415.53            NO                         --/--/----
69)  85374516   VILLA YALLICO TATIANA NANCY                             3096.35            SI                         11/06/2025
70)  86624675   SEDANO IBEROS JAIR                                     52720.85            NO                         --/--/----
71)  89064460   GUEVARA MIYAKE MILENA                                 -47441.80            SI                         21/01/2026
72)  90334731   QUIROGA LAURA ANNIE                                    36918.67            NO                         --/--/----
73)  94017458   MIRANDA HUAYANAY RHONY                                -36850.59            SI                         23/09/2025
74)  94909241   FUENTES GAMARRA HUGO                                  -16702.50            SI                         15/11/2025
75)  96248134   LAM TORO ALEX                                            748.45            SI                         22/04/2026
76)  99718207   CHANG ZUNIGA GLENDA                                     3975.55            SI                         06/01/2026
77)  99819074   SAONA ARIAS ALBERTO                                    56230.64            SI                         28/01/2025
============================================================================================================================================
